factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
breakout_high_20,5,-0.16018827400495614,-0.21066939521512273,0.05566453930659057,-0.1520202852681297,-0.05307863766070078,-0.03530646179076135,-0.04859854249103068,-0.03336298959852325,-0.017772175869939427,0.0046875,0.21066939521512273
volatility_20,5,0.20066003616463646,0.2101179372447523,-0.06145533869621927,0.16360557994546202,0.018789621254430972,0.015672712394836245,0.018124196303609626,0.015356489857152092,0.003116908859594727,0.005208333333333333,0.2101179372447523
volatility_10,10,0.220486861930509,0.2100276013505314,-0.05608588382960276,0.12782667628139036,0.0182840102119522,0.014926419319904523,0.0172693599787384,0.014873590093186137,0.003357590892047676,0.0026109660574412533,0.2100276013505314
volatility_10,5,0.1739815158753704,0.20996266488616414,-0.040483134991871415,0.1459845121904785,0.018439241649513726,0.015288672674074051,0.017581799560007133,0.014816730244048299,0.0031505689754396746,0.0026041666666666665,0.20996266488616414
atr_ratio_10,5,0.2140407386676765,0.20866497148668786,-0.05149248737809868,0.1536956500193237,0.022652926234058093,0.019037525916286775,0.02176552378411835,0.01855771502713247,0.0036154003177713175,0.0020833333333333333,0.20866497148668786
volatility_ratio_20_60,5,0.15347830162892376,0.2079736855201097,-0.10029616413206072,0.20083416325637674,1.0356276932556419,0.925647738553765,1.0219807369306242,0.919934296143367,0.10997995470187683,0.015625,0.2079736855201097
volatility_ratio_20_60,20,0.2088372840166752,0.18337461151272189,-0.13643624955075423,0.20728811259556187,1.0213381372674326,0.898602844717383,1.0103361227374015,0.9015654820639617,0.12273529255004956,0.015748031496062992,0.20728811259556187
breakout_high_prior_20,5,-0.1526269114966224,-0.20728629196828424,0.05632057812060698,-0.1503988945223678,-0.052487635825835446,-0.03402431913286364,-0.0479121749212817,-0.03211559735561238,-0.018463316692971805,0.005208333333333333,0.20728629196828424
m5_bar_range_max,10,0.23927177392393092,0.20657401812935275,-0.06385126367716797,0.1355977489719163,0.01264201712937593,0.009694498952822624,0.011989082189394543,0.009664625745065596,0.0029475181765533064,0.8402088772845953,0.20657401812935275
large_down_return_sum_20,10,-0.21605436034373238,-0.20628636014383092,0.057233190251154926,-0.1325887546681984,-0.12115519835518995,-0.0906527117348672,-0.11220085914910986,-0.08956024422609847,-0.030502486620322747,0.004699738903394256,0.20628636014383092
m5_last_hour_return_std_5,20,0.18437268145062713,0.20620169745617034,-0.007192256614882291,0.10867204147739004,0.00814916274006476,0.006667384499943965,0.0077901885026621445,0.006516024006964473,0.0014817782401207943,0.8456692913385827,0.20620169745617034
true_range_pct,10,0.21716865502359922,0.20616605142520394,-0.07097863779912751,0.1465395115655311,0.023729139235142742,0.01817846599788318,0.022407389504587476,0.01795424233035158,0.005550673237259562,0.0005221932114882506,0.20616605142520394
bollinger_width,3,0.18083269270205923,0.20613127430982187,-0.039571595497088136,0.14186847948556913,0.14683633086928147,0.11800947401439983,0.13909487679979207,0.11407008632801603,0.028826856854881636,0.004682622268470343,0.20613127430982187
breakout_high_60,10,-0.16339325077302033,-0.2060304015821544,0.0795777559761613,-0.14403340916958066,-0.07600919569052994,-0.050763278292264645,-0.06949765667108324,-0.05089004017721732,-0.025245917398265295,0.015143603133159269,0.2060304015821544
volatility_5,10,0.19429417743256247,0.20592445054495986,-0.0399180593767195,0.11364285134290586,0.017501243801966198,0.014121514524851504,0.016404543482590857,0.013967277348585038,0.0033797292771146938,0.001566579634464752,0.20592445054495986
downside_volatility_10,5,0.1429303123248878,0.20494214486257092,-0.028879966518230327,0.1408580322806125,0.011199969817584058,0.008939227810527006,0.01055603032121121,0.00849806286455495,0.0022607420070570525,0.0020833333333333333,0.20494214486257092
m5_last_hour_volume_share_mean_5,20,-0.26179732359261104,-0.20434800621086371,0.15453725053322875,-0.15894702994523877,0.2225290530004923,0.22920228141844023,0.2235676571952085,0.22813091975164865,-0.0066732284179479295,0.8456692913385827,0.20434800621086371
breakout_high_60,5,-0.1278724757818115,-0.20372601629231304,0.04937174911369424,-0.14980812553655307,-0.0768210794082644,-0.05485118260572448,-0.07115130407042178,-0.05179237294232347,-0.021969896802539912,0.015104166666666667,0.20372601629231304
